Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
Language spoken most often at home,        Nilo-Saharan languages,,0,,0,,0,,550,,260,,290,
Language spoken most often at home,          Dinka,,0,,0,,0,,120,,60,,65,
Language spoken most often at home,          Nilo-Saharan languages; n.i.e.,,0,,0,,5,,425,,195,,225,
Language spoken most often at home,        Sign languages,,60,,30,,25,,4425,,2485,,1940,
Language spoken most often at home,          American Sign Language,,25,,15,,10,,1605,,830,,770,
Language spoken most often at home,          Quebec Sign Language,,0,,0,,0,,25,,15,,15,
Language spoken most often at home,          Sign languages; n.i.e,,35,,15,,20,,2795,,1640,,1150,
Language spoken most often at home,        Sino-Tibetan languages,,1515,,710,,805,,448200,,210560,,237640,
Language spoken most often at home,          Chinese languages,,1505,,705,,800,,441615,,207305,,234310,
Language spoken most often at home,            Cantonese,,365,,170,,195,,198745,,91545,,107200,
Language spoken most often at home,            Hakka,,0,,0,,0,,2870,,1305,,1575,
Language spoken most often at home,            Mandarin,,1070,,500,,570,,220535,,105360,,115175,
Language spoken most often at home,            Min Dong,,0,,0,,0,,265,,115,,145,
Language spoken most often at home,            Min Nan (Chaochow; Teochow; Fukien; Taiwanese),,20,,10,,10,,5775,,2635,,3140,
Language spoken most often at home,            Wu (Shanghainese),,15,,10,,5,,3690,,1735,,1955,
Language spoken most often at home,            Chinese; n.o.s.,,45,,15,,25,,9630,,4565,,5070,
Language spoken most often at home,            Chinese languages; n.i.e.,,0,,0,,0,,100,,45,,55,
Language spoken most often at home,          Tibeto-Burman languages,,15,,5,,10,,6580,,3250,,3330,
Language spoken most often at home,            Burmese,,10,,5,,5,,1010,,480,,530,
Language spoken most often at home,            Karenic languages,,0,,0,,0,,1360,,685,,675,
Language spoken most often at home,            Tibetan,,0,,0,,0,,3875,,1925,,1945,
Language spoken most often at home,            Tibeto-Burman languages; n.i.e.,,0,,0,,0,,335,,165,,170,
Language spoken most often at home,        Tai-Kadai languages,,50,,25,,25,,3865,,1845,,2020,
Language spoken most often at home,          Lao,,10,,5,,5,,2535,,1220,,1315,
Language spoken most often at home,          Thai,,40,,20,,20,,1315,,615,,695,
Language spoken most often at home,          Tai-Kadai languages; n.i.e,,0,,0,,0,,10,,5,,10,
Language spoken most often at home,        Turkic languages,,145,,75,,70,,12435,,6200,,6230,
Language spoken most often at home,          Azerbaijani,,10,,5,,5,,770,,385,,380,
Language spoken most often at home,          Turkish,,140,,75,,65,,10545,,5245,,5300,
Language spoken most often at home,          Uyghur,,0,,0,,0,,290,,150,,140,
Language spoken most often at home,          Uzbek,,0,,0,,0,,585,,290,,295,
Language spoken most often at home,          Turkic languages; n.i.e.,,0,,0,,5,,250,,130,,120,
Language spoken most often at home,        Uralic languages,,180,,85,,95,,15330,,6990,,8340,
Language spoken most often at home,          Estonian,,15,,5,,10,,790,,290,,500,
Language spoken most often at home,          Finnish,,15,,10,,5,,1835,,780,,1050,
Language spoken most often at home,          Hungarian,,150,,70,,75,,12700,,5915,,6790,
Language spoken most often at home,          Uralic languages; n.i.e.,,0,,0,,0,,0,,0,,0,
Language spoken most often at home,        Other languages; n.i.e.,,0,,0,,0,,465,,245,,225,
Language spoken most often at home,  Multiple responses,,6940,,3235,,3705,,790825,,379925,,410905,
Language spoken most often at home,    English and French,,350,,145,,205,,45655,,20895,,24755,
Language spoken most often at home,    English and non-official language,,6405,,3000,,3405,,719595,,347730,,371865,
Language spoken most often at home,    French and non-official language,,25,,10,,15,,6725,,2930,,3795,
Language spoken most often at home,    English; French and non-official language,,160,,75,,80,,18855,,8365,,10490,
Other language spoken regularly at home,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,20,181150,,87270,,93880,,13312865,,6503875,,6808990,
Other language spoken regularly at home,  None,,161185,,78025,,83165,,11071665,,5436665,,5635000,
Other language spoken regularly at home,  English,,6870,,3325,,3540,,896170,,437015,,459155,
Other language spoken regularly at home,  French,,2090,,870,,1225,,243970,,108390,,135580,
Other language spoken regularly at home,  Non-official language,,10660,,4900,,5770,,1056960,,501315,,555645,
Other language spoken regularly at home,    Aboriginal,,0,,0,,0,,14315,,6580,,7735,
Other language spoken regularly at home,    Non-Aboriginal,,10665,,4895,,5765,,1042645,,494735,,547910,
Other language spoken regularly at home,  English and French,,65,,30,,35,,8150,,3755,,4395,
Other language spoken regularly at home,  English and non-official language,,120,,60,,60,,19105,,9370,,9735,
Other language spoken regularly at home,  French and non-official language,,155,,60,,95,,16435,,7165,,9270,
Other language spoken regularly at home,  English; French and non-official language,,5,,0,,5,,415,,205,,215,
Income of individuals in 2015,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,21,149495,,71145,,78345,,11038440,,5342850,,5695590,
Income of individuals in 2015,  Number of total income recipients aged 15 years and over in private households - 100% data,,144535,,68775,,75760,,10556935,,5115460,,5441475,
Income of individuals in 2015,    Median total income in 2015 among recipients ($),,42551,,52428,,35614,,33539,,39889,,28676,
Income of individuals in 2015,  Number of after-tax income recipients aged 15 years and over in private households - 100% data,,144580,,68780,,75795,,10559805,,5115825,,5443975,
Income of individuals in 2015,    Median after-tax income in 2015 among recipients ($),,37699,,45264,,32021,,30641,,35753,,26585,
Income of individuals in 2015,  Number of market income recipients aged 15 years and over in private households - 100% data,,135930,,65665,,70265,,9391800,,4650130,,4741675,
Income of individuals in 2015,    Median market income in 2015 among recipients ($),,39959,,50414,,32034,,32871,,39831,,27012,
Income of individuals in 2015,  Number of government transfers recipients aged 15 years and over in private households - 100% data,,98000,,41745,,56260,,7632575,,3402810,,4229770,
Income of individuals in 2015,    Median government transfers in 2015 among recipients ($),,4168,,1668,,5240,,4206,,2034,,5463,
Income of individuals in 2015,  Number of employment income recipients aged 15 years and over in private households - 100% data,,111895,,56780,,55115,,7790680,,3998335,,3792350,
Income of individuals in 2015,    Median employment income in 2015 among recipients ($),,40896,,49910,,34803,,33946,,39490,,29413,
Income of individuals in 2015,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,22,149495,,71145,,78350,,11038440,,5342755,,5695685,
Income of individuals in 2015,  Number of total income recipients aged 15 years and over in private households - 25% sample data,,144630,,68820,,75815,,10556925,,5114340,,5442580,
Income of individuals in 2015,    Average total income in 2015 among recipients ($),,60898,,75934,,47249,,47915,,56780,,39585,
Income of individuals in 2015,  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data,,144695,,68840,,75860,,10559935,,5114725,,5445210,
Income of individuals in 2015,    Average after-tax income in 2015 among recipients ($),,48259,,58506,,38961,,39318,,45443,,33564,
Income of individuals in 2015,  Number of market income recipients aged 15 years and over in private households - 25% sample data,,136020,,65660,,70355,,9391645,,4649230,,4742415,
Income of individuals in 2015,    Average market income in 2015 among recipients ($),,59465,,75201,,44779,,47890,,57511,,38459,
Income of individuals in 2015,  Number of government transfers recipients aged 15 years and over in private households - 25% sample data,,98120,,41895,,56225,,7632220,,3402745,,4229475,
Income of individuals in 2015,    Average government transfers in 2015 among recipients ($),,7331,,6868,,7676,,7346,,6763,,7815,
Income of individuals in 2015,  Number of employment income recipients aged 15 years and over in private households - 25% sample data,,111895,,56655,,55240,,7790680,,3995700,,3794985,
Income of individuals in 2015,    Average employment income in 2015 among recipients ($),,58974,,72279,,45328,,47369,,55263,,39057,
Income of individuals in 2015,Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,23,149495,,71145,,78350,,11038440,,5342755,,5695685,
Income of individuals in 2015,  Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data,24,56940,,31440,,25505,,3737385,,2082480,,1654900,
Income of individuals in 2015,    Median employment income in 2015 for full-year full-time workers ($),25,66047,,74549,,57775,,55121,,60345,,49713,
Income of individuals in 2015,    Average employment income in 2015 for full-year full-time workers ($),26,84835,,99235,,67083,,68628,,76536,,58676,
Income of individuals in 2015,Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data,27,100,,100,,100,,100,,100,,100,
Income of individuals in 2015,  Market income (%),28,91.8,,94.5,,87.9,,88.9,,92.1,,84.7,
Income of individuals in 2015,    Employment income (%),29,74.4,,77.6,,69.7,,72.9,,76,,68.7,
Income of individuals in 2015,  Government transfers (%),30,8.2,,5.5,,12.1,,11.1,,7.9,,15.3,
Income of individuals in 2015,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,31,149495,,71145,,78350,,11038440,,5342850,,5695590,
Income of individuals in 2015,  Without total income,,4960,,2370,,2590,,481500,,227390,,254115,
Income of individuals in 2015,  With total income,,144535,,68770,,75760,,10556940,,5115460,,5441475,
Income of individuals in 2015,  Percentage with total income,,96.7,,96.7,,96.7,,95.6,,95.7,,95.5,
Income of individuals in 2015,    Under $10;000 (including loss),,18190,,7470,,10720,,1615790,,711105,,904685,
Income of individuals in 2015,    $10;000 to $19;999,,19435,,7390,,12050,,1829355,,742710,,1086645,
Income of individuals in 2015,    $20;000 to $29;999,,16545,,6295,,10245,,1410760,,589975,,820785,
Income of individuals in 2015,    $30;000 to $39;999,,14450,,6045,,8405,,1147510,,519550,,627955,
Income of individuals in 2015,    $40;000 to $49;999,,13450,,5830,,7620,,1021880,,489595,,532285,
Income of individuals in 2015,    $50;000 to $59;999,,11560,,5470,,6090,,809115,,415950,,393165,
Income of individuals in 2015,    $60;000 to $69;999,,9765,,4835,,4930,,630635,,348525,,282110,
Income of individuals in 2015,    $70;000 to $79;999,,7865,,4220,,3645,,479890,,277725,,202165,
Income of individuals in 2015,    $80;000 to $89;999,,6665,,3670,,3000,,378185,,222095,,156095,
Income of individuals in 2015,    $90;000 to $99;999,,6030,,3215,,2815,,324810,,181815,,142995,
Income of individuals in 2015,    $100;000 and over,,20580,,14340,,6245,,909005,,616420,,292585,
Income of individuals in 2015,      $100;000 to $149;999,,12665,,8395,,4270,,600995,,394410,,206590,
Income of individuals in 2015,      $150;000 and over,,7915,,5940,,1980,,308010,,222010,,86000,
Income of individuals in 2015,Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,32,149495,,71145,,78350,,11038440,,5342850,,5695590,
Income of individuals in 2015,  Without after-tax income,,4920,,2365,,2550,,478635,,227025,,251610,
Income of individuals in 2015,  With after-tax income,,144580,,68785,,75795,,10559805,,5115825,,5443980,
Income of individuals in 2015,  Percentage with after-tax income,,96.7,,96.7,,96.7,,95.7,,95.8,,95.6,
Income of individuals in 2015,    Under $10;000 (including loss),,19020,,7640,,11380,,1659280,,722040,,937235,
Income of individuals in 2015,    $10;000 to $19;999,,20345,,7775,,12580,,1906875,,777330,,1129540,
Income of individuals in 2015,    $20;000 to $29;999,,19300,,7475,,11825,,1623230,,690290,,932940,
Income of individuals in 2015,    $30;000 to $39;999,,17600,,7500,,10100,,1377100,,642645,,734450,
Income of individuals in 2015,    $40;000 to $49;999,,16140,,7465,,8680,,1166040,,585490,,580555,
Income of individuals in 2015,    $50;000 to $59;999,,12965,,6525,,6445,,845305,,464610,,380700,
Income of individuals in 2015,    $60;000 to $69;999,,10155,,5540,,4615,,604005,,354015,,249985,
Income of individuals in 2015,    $70;000 to $79;999,,8525,,4740,,3785,,465485,,268140,,197345,
Income of individuals in 2015,    $80;000 and over,,20525,,14135,,6390,,912490,,611260,,301230,
Income of individuals in 2015,      $80;000 to $89;999,,5990,,3665,,2325,,299315,,183410,,115905,
Income of individuals in 2015,      $90;000 to $99;999,,3755,,2505,,1255,,174110,,116330,,57785,
Income of individuals in 2015,      $100;000 and over,,10775,,7965,,2820,,439070,,311525,,127540,
Income of individuals in 2015,Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,33,149495,,71145,,78350,,11038440,,5342850,,5695590,
Income of individuals in 2015,  Without employment income,,37595,,14365,,23235,,3247760,,1344515,,1903245,
Income of individuals in 2015,  With employment income,,111895,,56780,,55115,,7790680,,3998335,,3792350,
Income of individuals in 2015,  Percentage with employment income,,74.8,,79.8,,70.3,,70.6,,74.8,,66.6,
Income of individuals in 2015,    Under $5;000 (including loss),,15515,,7900,,7610,,1094860,,546920,,547940,
Income of individuals in 2015,    $5;000 to $9;999,,8340,,3580,,4760,,635305,,281135,,354165,
Income of individuals in 2015,    $10;000 to $19;999,,12315,,5300,,7015,,1027910,,464445,,563465,
Income of individuals in 2015,    $20;000 to $29;999,,9770,,4085,,5680,,827805,,372185,,455625,
Income of individuals in 2015,    $30;000 to $39;999,,9075,,3755,,5320,,767840,,351925,,415910,
Income of individuals in 2015,    $40;000 to $49;999,,8780,,3805,,4975,,709775,,341320,,368450,
Income of individuals in 2015,    $50;000 to $59;999,,8075,,3820,,4250,,588220,,310155,,278065,
Income of individuals in 2015,    $60;000 to $69;999,,7015,,3530,,3490,,465670,,263430,,202240,
Income of individuals in 2015,    $70;000 to $79;999,,5995,,3280,,2715,,369085,,218570,,150515,
Income of individuals in 2015,    $80;000 and over,,27020,,17725,,9295,,1304210,,848245,,455970,
Income of individuals in 2015,      $80;000 to $89;999,,5280,,2950,,2330,,307660,,182660,,125005,
Income of individuals in 2015,      $90;000 to $99;999,,5125,,2680,,2450,,280530,,156440,,124090,
Income of individuals in 2015,      $100;000 and over,,16615,,12095,,4515,,716015,,509140,,206875,
Income of households in 2015,Total - Income statistics in 2015 for private households by household size - 100% data,34,71370,,,...,,...,5169175,,,...,,...
Income of households in 2015,  Median total income of households in 2015 ($),,93588,,,...,,...,74287,,,...,,...
Income of households in 2015,  Median after-tax income of households in 2015 ($),,79570,,,...,,...,65285,,,...,,...
Income of households in 2015,    Total - Income statistics in 2015 for one-person private households - 100% data,,17705,,,...,,...,1341300,,,...,,...
Income of households in 2015,      Median total income of one-person households in 2015 ($),,48039,,,...,,...,36900,,,...,,...
Income of households in 2015,      Median after-tax income of one-person households in 2015 ($),,41470,,,...,,...,33219,,,...,,...
Income of households in 2015,    Total - Income statistics in 2015 for two-or-more-person private households - 100% data,,53665,,,...,,...,3827875,,,...,,...
Income of households in 2015,      Median total income of two-or-more-person households in 2015 ($),,112675,,,...,,...,90967,,,...,,...
Income of households in 2015,      Median after-tax income of two-or-more-person households in 2015 ($),,95096,,,...,,...,79528,,,...,,...
Income of households in 2015,Total - Income statistics in 2015 for private households by household size - 25% sample data,35,71370,,,...,,...,5169175,,,...,,...
Income of households in 2015,  Average total income of households in 2015 ($),,123402,,,...,,...,97856,,,...,,...
Income of households in 2015,  Average after-tax income of households in 2015 ($),,97836,,,...,,...,80322,,,...,,...
Income of households in 2015,    Total - Income statistics in 2015 for one-person private households - 25% sample data,,17720,,,...,,...,1341115,,,...,,...
Income of households in 2015,      Average total income of one-person households in 2015 ($),,60516,,,...,,...,49571,,,...,,...
Income of households in 2015,      Average after-tax income of one-person households in 2015 ($),,48766,,,...,,...,40830,,,...,,...
Income of households in 2015,    Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data,,53655,,,...,,...,3828060,,,...,,...
Income of households in 2015,      Average total income of two-or-more-person households in 2015 ($),,144171,,,...,,...,114773,,,...,,...
Income of households in 2015,      Average after-tax income of two-or-more-person households in 2015 ($),,114042,,,...,,...,94157,,,...,,...
Income of households in 2015,Total - Household total income groups in 2015 for private households - 100% data,36,71375,,,...,,...,5169175,,,...,,...
Income of households in 2015,  Under $5;000,,645,,,...,,...,86720,,,...,,...
Income of households in 2015,  $5;000 to $9;999,,450,,,...,,...,70245,,,...,,...
Income of households in 2015,  $10;000 to $14;999,,860,,,...,,...,134395,,,...,,...
Income of households in 2015,  $15;000 to $19;999,,1350,,,...,,...,185245,,,...,,...
Income of households in 2015,  $20;000 to $24;999,,1980,,,...,,...,200770,,,...,,...
Income of households in 2015,  $25;000 to $29;999,,1780,,,...,,...,189450,,,...,,...
Income of households in 2015,  $30;000 to $34;999,,2120,,,...,,...,202580,,,...,,...
Income of households in 2015,  $35;000 to $39;999,,2240,,,...,,...,207180,,,...,,...
Income of households in 2015,  $40;000 to $44;999,,2310,,,...,,...,206605,,,...,,...
Income of households in 2015,  $45;000 to $49;999,,2270,,,...,,...,202015,,,...,,...
Income of households in 2015,  $50;000 to $59;999,,4755,,,...,,...,388820,,,...,,...
Income of households in 2015,  $60;000 to $69;999,,4710,,,...,,...,363580,,,...,,...
Income of households in 2015,  $70;000 to $79;999,,4575,,,...,,...,335770,,,...,,...
Income of households in 2015,  $80;000 to $89;999,,4190,,,...,,...,309105,,,...,,...
Income of households in 2015,  $90;000 to $99;999,,4090,,,...,,...,282740,,,...,,...
Income of households in 2015,  $100;000 and over,,33060,,,...,,...,1803955,,,...,,...
Income of households in 2015,    $100;000 to $124;999,,8555,,,...,,...,560090,,,...,,...
Income of households in 2015,    $125;000 to $149;999,,6590,,,...,,...,394570,,,...,,...
Income of households in 2015,    $150;000 to $199;999,,8590,,,...,,...,449885,,,...,,...
Income of households in 2015,    $200;000 and over,,9330,,,...,,...,399410,,,...,,...
Income of households in 2015,Total - Household after-tax income groups in 2015 for private households - 100% data,32,71375,,,...,,...,5169175,,,...,,...
Income of households in 2015,  Under $5;000,,745,,,...,,...,92220,,,...,,...
Income of households in 2015,  $5;000 to $9;999,,465,,,...,,...,71480,,,...,,...
Income of households in 2015,  $10;000 to $14;999,,895,,,...,,...,136550,,,...,,...
Income of households in 2015,  $15;000 to $19;999,,1425,,,...,,...,192920,,,...,,...
Income of households in 2015,  $20;000 to $24;999,,2255,,,...,,...,222605,,,...,,...
Income of households in 2015,  $25;000 to $29;999,,2065,,,...,,...,211440,,,...,,...
Income of households in 2015,  $30;000 to $34;999,,2525,,,...,,...,232755,,,...,,...
Income of households in 2015,  $35;000 to $39;999,,2755,,,...,,...,244335,,,...,,...
Income of households in 2015,  $40;000 to $44;999,,2860,,,...,,...,247645,,,...,,...
Income of households in 2015,  $45;000 to $49;999,,2945,,,...,,...,241965,,,...,,...
Income of households in 2015,  $50;000 to $59;999,,5880,,,...,,...,463170,,,...,,...
Income of households in 2015,  $60;000 to $69;999,,5680,,,...,,...,422695,,,...,,...
Income of households in 2015,  $70;000 to $79;999,,5405,,,...,,...,388720,,,...,,...
Income of households in 2015,  $80;000 to $89;999,,5035,,,...,,...,342330,,,...,,...
Income of households in 2015,  $90;000 to $99;999,,4545,,,...,,...,290720,,,...,,...
Income of households in 2015,  $100;000 and over,,25890,,,...,,...,1367630,,,...,,...
Income of households in 2015,    $100;000 to $124;999,,8835,,,...,,...,539915,,,...,,...
Income of households in 2015,    $125;000 to $149;999,,6175,,,...,,...,334420,,,...,,...
Income of households in 2015,    $150;000 and over,,10880,,,...,,...,493295,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for economic families in private households - 100% data,37,52585,,,...,,...,3689580,,,...,,...
Income of economic families in 2015,  Median total income of economic families in 2015 ($),,112739,,,...,,...,91089,,,...,,...
Income of economic families in 2015,  Median after-tax income of economic families in 2015 ($),,95100,,,...,,...,79531,,,...,,...
Income of economic families in 2015,  Average family size of economic families,,3,,,...,,...,3.1,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,,19210,,,...,,...,1280890,,,...,,...
Income of economic families in 2015,  Median total income of couple economic families without children or other relatives in 2015 ($),,96070,,,...,,...,81459,,,...,,...
Income of economic families in 2015,  Median after-tax income of couple economic families without children or other relatives in 2015 ($),,82141,,,...,,...,71237,,,...,,...
Income of economic families in 2015,  Average family size of couple economic families without children or other relatives,,2,,,...,,...,2,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,,24985,,,...,,...,1716115,,,...,,...
Income of economic families in 2015,  Median total income of couple economic families with children in 2015 ($),,143376,,,...,,...,115381,,,...,,...
Income of economic families in 2015,  Median after-tax income of couple economic families with children in 2015 ($),,118938,,,...,,...,99205,,,...,,...
Income of economic families in 2015,  Average family size of couple economic families with children,,3.9,,,...,,...,4.1,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data,,7345,,,...,,...,584180,,,...,,...
Income of economic families in 2015,  Median total income of lone-parent economic families in 2015 ($),,69564,,,...,,...,54363,,,...,,...
Income of economic families in 2015,  Median after-tax income of lone-parent economic families in 2015 ($),,61824,,,...,,...,50317,,,...,,...
Income of economic families in 2015,  Average family size of lone-parent economic families,,2.6,,,...,,...,2.7,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for economic families in private households - 25% sample data,38,52545,,,...,,...,3689080,,,...,,...
Income of economic families in 2015,  Average total income of economic families in 2015 ($),,144456,,,...,,...,115328,,,...,,...
Income of economic families in 2015,  Average after-tax income of economic families in 2015 ($),,114143,,,...,,...,94410,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,,19265,,,...,,...,1280580,,,...,,...
Income of economic families in 2015,  Average total income of couple economic families without children or other relatives in 2015 ($),,126812,,,...,,...,104425,,,...,,...
Income of economic families in 2015,  Average after-tax income of couple economic families without children or other relatives in 2015 ($),,100284,,,...,,...,84952,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,,24935,,,...,,...,1717295,,,...,,...
Income of economic families in 2015,  Average total income of couple economic families with children in 2015 ($),,177218,,,...,,...,140590,,,...,,...
Income of economic families in 2015,  Average after-tax income of couple economic families with children in 2015 ($),,138476,,,...,,...,114144,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,,7330,,,...,,...,581945,,,...,,...
Income of economic families in 2015,  Average total income of lone-parent economic families in 2015 ($),,82522,,,...,,...,67748,,,...,,...
Income of economic families in 2015,  Average after-tax income of lone-parent economic families in 2015 ($),,69546,,,...,,...,58742,,,...,,...
Income of economic families in 2015,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data,21,21185,,8615,,12570,,1818815,,867175,,951640,
Income of economic families in 2015,  Median total income in 2015 for persons aged 15 years and over not in economic families ($),39,44928,,50468,,41967,,32097,,33925,,30753,
Income of economic families in 2015,  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($),39,39168,,42884,,37027,,29417,,30678,,28442,
Income of economic families in 2015,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,40,21190,,8680,,12515,,1814575,,864020,,950555,
Income of economic families in 2015,  Average total income in 2015 for persons aged 15 years and over not in economic families ($),41,57406,,64461,,52513,,44298,,46765,,42057,
Income of economic families in 2015,  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($),41,46468,,51045,,43293,,36874,,38228,,35644,
Income of economic families in 2015,Total - Economic family income decile group for the population in private households - 100% data,42,180125,,86940,,93185,,13242160,,6472205,,6769955,
Income of economic families in 2015,  In the bottom half of the distribution,,59345,,26945,,32400,,6335170,,3016275,,3318895,
Income of economic families in 2015,    In the bottom decile,,8910,,4155,,4755,,1346645,,651310,,695335,
Income of economic families in 2015,    In the second decile,,10070,,4205,,5865,,1280675,,581380,,699290,
Income of economic families in 2015,    In the third decile,,11865,,5265,,6605,,1237415,,583840,,653575,
Income of economic families in 2015,    In the fourth decile,,13380,,6235,,7145,,1223510,,589740,,633770,
Income of economic families in 2015,    In the fifth decile,,15130,,7090,,8035,,1246925,,610000,,636930,
Income of economic families in 2015,  In the top half of the distribution,,120780,,59995,,60785,,6906990,,3455930,,3451060,
Income of economic families in 2015,    In the sixth decile,,17420,,8440,,8985,,1279095,,629635,,649465,
Income of economic families in 2015,    In the seventh decile,,19660,,9495,,10165,,1321220,,655840,,665375,
Income of economic families in 2015,    In the eighth decile,,22820,,11265,,11555,,1382795,,691630,,691165,
Income of economic families in 2015,    In the ninth decile,,27530,,13810,,13715,,1464415,,736030,,728385,
Income of economic families in 2015,    In the top decile,,33350,,16985,,16365,,1459465,,742795,,716670,
Low income in 2015,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,43,180125,,86945,,93180,,13184055,,6442930,,6741130,
Low income in 2015,  0 to 17 years,,37090,,19115,,17975,,2656535,,1361905,,1294630,
Low income in 2015,    0 to 5 years,,11245,,5765,,5485,,835000,,428025,,406975,
Low income in 2015,  18 to 64 years,,110415,,53310,,57105,,8418960,,4110615,,4308345,
Low income in 2015,  65 years and over,,32620,,14520,,18105,,2108560,,970405,,1138155,
Low income in 2015,In low income based on the Low-income measure; after tax (LIM-AT),,13220,,5830,,7395,,1898975,,886530,,1012445,
Low income in 2015,  0 to 17 years,,3460,,1810,,1645,,489905,,251830,,238080,
Low income in 2015,    0 to 5 years,,950,,495,,460,,165140,,84825,,80310,
Low income in 2015,  18 to 64 years,,7465,,3275,,4190,,1155315,,538535,,616780,
Low income in 2015,  65 years and over,,2295,,740,,1560,,253755,,96170,,157585,
Low income in 2015,Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%),,7.3,,6.7,,7.9,,14.4,,13.8,,15,
Low income in 2015,  0 to 17 years (%),,9.3,,9.5,,9.2,,18.4,,18.5,,18.4,
Low income in 2015,    0 to 5 years (%),,8.4,,8.6,,8.4,,19.8,,19.8,,19.7,
Low income in 2015,  18 to 64 years (%),,6.8,,6.1,,7.3,,13.7,,13.1,,14.3,
Low income in 2015,  65 years and over (%),,7,,5.1,,8.6,,12,,9.9,,13.8,
Low income in 2015,In low income based on the Low-income cut-offs; after tax (LICO-AT),,10330,,4710,,5620,,1298590,,627935,,670650,
Low income in 2015,  0 to 17 years,,2605,,1370,,1235,,304390,,156575,,147815,
Low income in 2015,    0 to 5 years,,705,,370,,340,,102750,,52810,,49935,
Low income in 2015,  18 to 64 years,,6335,,2900,,3435,,887640,,430545,,457095,
Low income in 2015,  65 years and over,,1395,,445,,950,,106555,,40815,,65740,
Low income in 2015,Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%),,5.7,,5.4,,6,,9.8,,9.7,,9.9,
Low income in 2015,  0 to 17 years (%),,7,,7.2,,6.9,,11.5,,11.5,,11.4,
Low income in 2015,    0 to 5 years (%),,6.3,,6.4,,6.2,,12.3,,12.3,,12.3,
Low income in 2015,  18 to 64 years (%),,5.7,,5.4,,6,,10.5,,10.5,,10.6,
Low income in 2015,  65 years and over (%),,4.3,,3.1,,5.2,,5.1,,4.2,,5.8,
Knowledge of languages,Total - Knowledge of languages for the population in private households - 25% sample data,44,180125,,86945,,93185,,13242160,,6472240,,6769925,
Knowledge of languages,  Official languages,,178635,,86380,,92250,,12918075,,6342930,,6575145,
Knowledge of languages,    English,,178540,,86345,,92195,,12879045,,6326225,,6552825,
Knowledge of languages,    French,,16140,,6805,,9340,,1521020,,677505,,843510,
Knowledge of languages,  Non-official languages,,40950,,19195,,21750,,4431270,,2115510,,2315760,
Knowledge of languages,    Aboriginal languages,,0,,0,,0,,33855,,15815,,18035,
Knowledge of languages,      Algonquian languages,,0,,0,,0,,30630,,14505,,16125,
Knowledge of languages,        Blackfoot,,0,,0,,0,,15,,15,,0,
Knowledge of languages,        Cree-Montagnais languages,,0,,0,,0,,6560,,3160,,3395,
Knowledge of languages,          Atikamekw,,0,,0,,0,,10,,0,,0,
Knowledge of languages,          Montagnais (Innu),,0,,0,,0,,10,,0,,10,
Knowledge of languages,          Moose Cree,,0,,0,,0,,145,,70,,75,
Knowledge of languages,          Naskapi,,0,,0,,0,,25,,10,,10,
Knowledge of languages,          Northern East Cree,,0,,0,,0,,65,,25,,45,
Knowledge of languages,          Plains Cree,,0,,0,,0,,105,,50,,50,
Knowledge of languages,          Southern East Cree,,0,,0,,0,,0,,0,,0,
Knowledge of languages,          Swampy Cree,,0,,0,,0,,605,,255,,350,
Knowledge of languages,          Woods Cree,,0,,0,,0,,45,,25,,25,
Knowledge of languages,          Cree; n.o.s.,,0,,0,,0,,5620,,2760,,2865,
Knowledge of languages,        Eastern Algonquian languages,,0,,0,,0,,180,,95,,85,
