School Name,School Number,OSSD Credits Offered,Principal Name,Suite,PO Box,Street Address,City,Province,Postal Code,Telephone Number,Fax,Region,School Website,School Level,School Special Conditions Code,Program Type,Association Membership
Brantford Christian School,885193,,Maureen Jarvis,,,30 Clara Crescent Cres,Brantford,Ontario,N3S7C9,519-752-0433,226-227-9876,West Region,www.bcsbrantford.ca,Elementary,Not applicable,Site based only,Edvance
Bravo Education Centre,665026,,Dan Li,,,71-78 Cathedral High Street,Markham,Ontario,L6C0P3,416-358-6955,,Central Region,www.bravoedu.ca,Elementary,Not applicable,Site based only,No
Bridge International School,882314,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ali Mohamed,,,1025 King Street East,Hamilton,Ontario,L8M1C9,437-999-8061,,West Region,https://bridgeinternational.ca,Secondary,All Year Round,Online/Site Based,No
Bright Academy,882166,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ganka Sivapathasundaram,,1594,5710 Stouffville Main Street,Stouffville,Ontario,L4A8A4,416-554-2853,,Central Region,www.brightacademy.ca,Secondary,Not applicable,Online Only,No
Bright Start Academy,669755,,Allie Offman,318,,4630 Dufferin Street,North York,Ontario,M3H5S4,416-514-1415,,Central Region,www.brightstartacademy.info,Elem/Sec,Not applicable,Site based only,No
BrightBridge Secondary School,668744,Offers credits toward the Ontario Secondary School Diploma (OSSD),Antonietta Ramagnano,,,61 Bruce Beer Drive,Brampton,Ontario,L6V2W7,647-712-0702,,Central Region,,Secondary,Not applicable,Online Only,No
BrightMinds Academy International,883674,Offers credits toward the Ontario Secondary School Diploma (OSSD),Janice Chan,13,,95 Royal Crest Crt,Markham,Ontario,L3R9X5,647-931-9070,,Central Region,www.BrightMindsOnlineSchool.ca,Elem/Sec,All Year Round,Online/Site Based,No
Brighter Dewey Online School,885664,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ronald Shelswell,,,40 Victoria Street,Bracebridge,Ontario,P1L1E2,416-568-4359,,Central Region,www.brighterdeweyedcuation.com,Elem/Sec,All Year Round,Online Only,No
Brighton,667145,Offers credits toward the Ontario Secondary School Diploma (OSSD),Kathy Lear,,,150 Wynford Drive,Toronto,Ontario,M3C1K6,416-932-8273,416-850-5493,Central Region,www.brightonschool.ca,Elem/Sec,Not applicable,Site based only,OFIS
Brock Academy,668654,Offers credits toward the Ontario Secondary School Diploma (OSSD),Bilal Rashid,504,,3050 Confederation Parkway,Mississauga,Ontario,L5B3Z6,905-646-9292,905-290-7994,West Region,https://brockacademy.ca,Elem/Sec,All Year Round,Online/Site Based,No
Brock Elementary School,881976,,Rabia Ismail,,,2065 Brock Road North,Pickering,Ontario,L1X0K2,905-426-7887,905-686-8789,East Region,www.brockelementaryschool.ca,Elementary,Not applicable,Site based only,No
Bronston Canadian Academy,669584,Offers credits toward the Ontario Secondary School Diploma (OSSD),Dorcas Haizel,,,411 East Main St.,Welland,Ontario,L3B3X3,289-776-6950,,West Region,www.bronston.ca,Elem/Sec,All Year Round,Online/Site Based,No
Bronte College,875112,Offers credits toward the Ontario Secondary School Diploma (OSSD),Anne-Louise Power,,,88 Bronte College Crt,Mississauga,Ontario,L5B1M9,905-270-7788,905-270-7828,Central Region,http://www.brontecollege.ca/,Secondary,All Year Round,Site based only,No
Brooke Valley School,889784,,Roseann Kerr,,,190 Seaborn Lane RR 4 RR#4,Perth,Ontario,K7H3C6,613-267-3651,,East Region,brookevalleyschool.weebly.com,Elementary,Not applicable,Site based only,No
Brooklin Mill Montessori School Inc,666831,,Ciara Gauthier,,,23-25 Cassels Rd E,Brooklin,Ontario,L1M1A4,905-655-0656,905-655-0657,East Region,www.brooklinmillmontessori.ca,Elementary,Not applicable,Site based only,Ontario Federation of Independent Schools
Brooklyn College,667560,Offers credits toward the Ontario Secondary School Diploma (OSSD),Tanbir Haque,,,150 Lesmill Road,North York,Ontario,M3B2T5,416-773-1322,416-773-1328,Central Region,www.brooklyncollege.ca,Secondary,All Year Round,Online/Site Based,No
Brookside Christian School,883107,,Steven Gingrich,,,7800 County Road 131,Listowel,Ontario,N4W3G9,519-595-8459,,West Region,,Elem/Sec,Not applicable,Site based only,No
Brookside Parochial School,888168,,Aaron Graber,,,962726 Road 96,St Marys,Ontario,N4X1C7,519-349-2070,,West Region,,Elementary,Not applicable,Site based only,No
Brookstone Academy,883102,,Shelly Long-Bokma,,,396 Warminster Sideroad,Moonstone,Ontario,L0K1E0,705-816-4580,,Central Region,www.brookstoneacadmey.ca,Elementary,Not applicable,Site based only,Ontario College of Teachers
Brown Academy,883755,Offers credits toward the Ontario Secondary School Diploma (OSSD),Tian Kuang,201,,650 Hwy 7 East,Richmond Hill,Ontario,L4B2N7,416-817-2852,647-748-8618,Central Region,www.brownacademy.ca,Secondary,All Year Round,Online/Site Based,College Board
Brussels Old Colony Christian School,665400,,Aaron Janzen,,641,650 Alexander Street,Brussels,Ontario,N0G1H0,226-889-5180,,West Region,,Elementary,Not applicable,Site based only,No
Burlington Christian Academy,889040,,Robert Lofthouse,,,521 North Service Rd,Burlington,Ontario,L7P5C3,905-639-7364,,West Region,www.onlyatbca.com,Elementary,Not applicable,Site based only,Edvance Christian Schools Association
Burlington Royal Arts Academy,668610,Offers credits toward the Ontario Secondary School Diploma (OSSD),Yan Zhang,,,2054 Mountainside Drive,Burlington,Ontario,L7P1A8,289-245-1534,,West Region,burlingtonroyalartsacademy.ca,Secondary,Not applicable,Site based only,No
Burooj International Academy,885863,,Mohamed Ali,,,16B 235 Dixon Road,Etobicoke,Ontario,M9P2M5,416-826-9329,,Central Region,,Elem/Sec,Not applicable,Online Only,No
By Design Learning Centre,885668,,Frederick Schenk,,,207321 Hwy 9,Mono,Ontario,L9W6J2,905-802-9980,,Central Region,,Elementary,Not applicable,Site based only,No
Bytown Brigantine Academy,668916,Offers credits toward the Ontario Secondary School Diploma (OSSD),Julia Morch,,,2700 QUEENSVIEW DR,Ottawa,Ontario,K2B8H6,613-596-6258,613-829-7296,East Region,www.tallshipsadventure.org,Secondary,Summer,Online/Site Based,"Tall ShipsCAN,Tall Ships America, Sail Training Internat"
C. Lawrence Academy,668786,Offers credits toward the Ontario Secondary School Diploma (OSSD),I-RU CHIU,,,4 Cherry Blossom Ln,Thornhill,Ontario,L3T3B9,416-873-2211,,Central Region,,Secondary,All Year Round,Online Only,No
C.E. Academy,669071,,Sophie Loszmann,,,155 Queen Street East,Mississauga,Ontario,L5G1N2,647-987-9771,905-274-0775,Central Region,ceacademy.ca,Elementary,Not applicable,Site based only,No
CCGP Learning Academy,883729,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Md Monzur Ali,102,,3205 Danforth Ave AVE,Scarborough,Ontario,M1L1B8,647-571-3179,,East Region,,Secondary,All Year Round,Online Only,No
CISK Canadian International School of Ku,882117,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),"Ali Bostani, Sara Samani",,,421 Laura Ave,Kingston,Ontario,K7K7M4,514-661-1401,,East Region,https://www.cisk.online/,Elem/Sec,Not applicable,Online/Site Based,No
CLA-Canadian Learning Academy,668471,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Ahmed Yehia,,,51 Rottenburg CRT,Milton,Ontario,L9T8S5,647-916-4734,,Central Region,,Secondary,All Year Round,Online/Site Based,No
CLSF CHRISTIAN ACADEMY,666535,,"ANGELO CAMUNGAO, REINA DONNA CERVANTES",,,589 HIGHWAY 77,LEAMINGTON,Ontario,N8H3V8,226-348-8670,,West Region,,Elem/Sec,Not applicable,Online/Site Based,CANADIAN CHURCH OF GOD IN CHRIST
CWS Canadian World Schools,884519,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mehrdad Sabouhi,103,,10087 Yonge Street,Richmond Hill,Ontario,L4C1T7,416-221-2111,,Central Region,,Elem/Sec,All Year Round,Online Only,No
CaST School,666002,Offers credits toward the Ontario Secondary School Diploma (OSSD),Christina Chubb,401,,720 Bathurst Street,Toronto,Ontario,M5S2R4,647-205-7656,,Toronto Region,www.castschool.org,Secondary,Not applicable,Site based only,No
Caesar International Academy,884245,Offers credits toward the Ontario Secondary School Diploma (OSSD),Kathleen D'Uva,500,,20 Eglinton Avenue East,Toronto,Ontario,M4P1A9,647-242-6666,,Toronto Region,,Secondary,All Year Round,Site based only,No
Cairn Christian School – Smithville,884804,,Joyce Koornneef,,924,6470 Regional 14 Rd,Smithville,Ontario,L0R2A0,905-957-7796,905-957-7794,West Region,cairnchristianschool.ca,Elementary,Not applicable,Site based only,Edvance Christian Schools
Cairn Christian School – Stoney Creek,886378,,Bonnie Desjardins,,,795 Highway 8,Stoney Creek,Ontario,L8E5J3,905-643-2460,905-643-5875,West Region,http://www.cairnchristianschool.ca,Elementary,Not applicable,Site based only,Edvance Christian Schools
Caledon Elementary Academy,886500,,Sandra Macri,,,15964 Airport Road,Caledon,Ontario,L7C1K2,416-565-2850,,Central Region,,Elementary,Not applicable,Site based only,No
Calton Christian School,882720,,David Harder,,,6732 Richmond Road,Aylmer,Ontario,N5H2R5,519-765-1721,519-765-1721,West Region,,Elem/Sec,Not applicable,Site based only,No
Calvary Christian Academy,878260,,Thomas BOURNE,,,9749 15 Hwy RR 6,Smiths Falls,Ontario,K7A4S7,613-283-5089,613-283-6949,East Region,http://www.CALVARYCA.com,Elem/Sec,Not applicable,Site based only,No
Calvary Christian School,881783,,Ronald Wickens,,,310 Scott St,St Catharines,Ontario,L2N1J5,905-935-3854,905-935-0854,West Region,www.calvarychristianschoolniagara.com,Elementary,Not applicable,Site based only,Association of Christian Schools International
Calvin Christian School,885509,,Arnold Boonstra,,,547 West 5th Street,Hamilton,Ontario,L9C3P7,905-388-2645,905-388-2769,West Region,www.ccshamilton.ca,Elementary,Not applicable,Site based only,EDVANCE Christian Schools Association
Cambridge Academy - Markham,666360,Offers credits toward the Ontario Secondary School Diploma (OSSD),Xinyao Ding,,,5873 Highway 7 E,Markham,Ontario,L3P1A3,905-472-0101,,Central Region,www.cambridgeacademy.ca,Secondary,Not applicable,Online/Site Based,No
Cambridge Christian Elementary School,887862,,Scott Beda,,,229 Myers Road,Cambridge,Ontario,N1R7H3,519-623-2261,519-623-4042,West Region,http://www.cambridgechristianschool.com,Elementary,Not applicable,Site based only,Vocate (formerly Edvance)
Cambridge Farm & Forest School,886571,,Heather Law,,,3238 Old Beverly Road,Cambridge,Ontario,N1R5S7,226-533-9591,,West Region,cambridgefarmandforest.ca,Elementary,Not applicable,Site based only,Forest School Canada (Child and Nature Alliance of Canada)
Cambridge International Academy,889979,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sandra Arff,4,,130 Commercial Avenue,Ajax,Ontario,L1S2H3,905-426-4254,289-816-5014,East Region,cciaedu.com,Elem/Sec,All Year Round,Online/Site Based,No
Camp Arowhon,669498,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mara Kates,,,1 Arowhon Road,Algonquin Park,Ontario,P0A1H0,416-975-9060,416-975-0130,Central Region,www.camparowhon.com,Secondary,Summer,Site based only,Ontario Camping Association
Camp Big Canoe,888027,Offers credits toward the Ontario Secondary School Diploma (OSSD),Erin Miles,,,1012 Sherwood Forest Road,Bracebridge,Ontario,P1L1X3,705-645-4963,705-645-4963,Central Region,www.campbigcanoe.ca,Secondary,Summer,Site based only,Ontario Camps Association
Camp Kandalore,665442,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jackie Pye,,,1143 Kandalore Road,Algonquin Highlands,Ontario,K0M1J2,416-322-9735,,East Region,www.kandalore.com,Secondary,Summer,Site based only,No
Camp Oconto,882554,Offers credits toward the Ontario Secondary School Diploma (OSSD),Vanessa Wade,,,1126 Camp Oconto Road,Tichborne,Ontario,K0H2V0,613-375-6678,,East Region,www.campoconto.com,Secondary,Summer,Site based only,Ontario Camps Association
Campfire Circle,669510,Offers credits toward the Ontario Secondary School Diploma (OSSD),Matthew Honsberger,,,464 Bathurst Street,Toronto,Ontario,M5T2S6,705-732-6366,705-732-6366,Toronto Region,www.campfirecircle.org,Secondary,Summer,Site based only,Ontario Camps Association
Can-AIM High School,666590,Offers credits toward the Ontario Secondary School Diploma (OSSD),Muzaffar Baig,,,2 Elmhurst Drive,Etobicoke,Ontario,M9W2J3,416-856-6040,416-519-4011,Central Region,www.can-aimhighschool.com,Secondary,All Year Round,Site based only,No
Canaan Global Academy,665306,Offers credits toward the Ontario Secondary School Diploma (OSSD),King Hong Tang,,,32 Kern Road,North York,Ontario,M3B1T1,647-358-6160,647-358-6161,Central Region,www.canaanacademy.ca,Secondary,All Year Round,Online/Site Based,Association of Christian School International
Canada Agile Preparatory Academy,883112,Offers credits toward the Ontario Secondary School Diploma (OSSD),Yue Dong,107,,2 Toronto Street,Toronto,Ontario,M5C2B5,416-936-8787,,Central Region,www.agileprep.ca,Secondary,All Year Round,Online Only,No
Canada Benson Academy,669083,Offers credits toward the Ontario Secondary School Diploma (OSSD),Fujing Ma,,,1556 Wyandotte St W,Windsor,Ontario,N9B1H5,519-253-1694,,West Region,http://canadabensonacademy.com/index.php,Elem/Sec,All Year Round,Online/Site Based,No
Canada Benson Academy - Markham,884699,Offers credits toward the Ontario Secondary School Diploma (OSSD),Fu Jing Ma,6,,8515 McCowan Road,Markham,Ontario,L3P5E4,905-554-8710,905-554-8730,Central Region,https://www.canadabenson.com/,Secondary,Not applicable,Online/Site Based,No
Canada Benson Academy - Toronto,883349,Offers credits toward the Ontario Secondary School Diploma (OSSD),Fu Jing Ma,unit 7,,8515 McCowan Road,Markham,Ontario,L3P5E4,647-532-8090,,Central Region,https://www.canadabenson.com/,Secondary,Not applicable,Site based only,No
Canada Cambridge Academy,669458,Offers credits toward the Ontario Secondary School Diploma (OSSD),Bahman Karimi,102,,1001 Dennison Street,Markham,Ontario,L3R2Z6,416-830-0120,,Central Region,www.canadacambridgeacademy.ca,Elem/Sec,All Year Round,Online/Site Based,No
Canada Capital International Academy,887815,Offers credits toward the Ontario Secondary School Diploma (OSSD),Tang Huang,,,833 Kennedy Road,Scarborough,Ontario,M1K2E7,647-374-4335,,East Region,,Secondary,All Year Round,Online Only,No
Canada Christian Academy,666467,,Deepa Patro,,,22 Abbey Road,Brampton,Ontario,L6W2T8,905-789-5841,289-901-0982,Central Region,www.canadachristianacademy.org,Elementary,Not applicable,Site based only,No
Canada International Academy,669500,,Shiva Esmaeili Azad,,,20 Victoria Blvd,York,Ontario,M6M2C1,647-507-4120,,Toronto Region,,Elem/Sec,Not applicable,Online Only,No
Canada International College,666769,Offers credits toward the Ontario Secondary School Diploma (OSSD),Darren Frake,505,,2347 Kennedy Rd,Toronto,Ontario,M1T3T8,416-335-9839,416-335-7309,East Region,http://www.cicollege.com,Secondary,All Year Round,Site based only,No
Canada International Education,882898,,Ana Morales,,,336 Hillcrest Ave.,North York,Ontario,M2N3P6,647-229-9356,,Toronto Region,www.canadaonlineeducation.com,Elem/Sec,Not applicable,Online Only,No
Canada International School,665820,,Ana Morales,,,20 Victoria BLVD.,York,Ontario,M6M2C1,647-229-9356,,Toronto Region,www.canadaonlineeducation.com,Elem/Sec,Not applicable,Online/Site Based,No
Canada Knowledge Academy,667745,Offers credits toward the Ontario Secondary School Diploma (OSSD),Hassna Fattal,,,4400 Boundary Road,Ottawa,Ontario,K0A1K0,,,East Region,www.ckacademy.ca,Elem/Sec,All Year Round,Online/Site Based,No
Canada Nord Academy,882882,Offers credits toward the Ontario Secondary School Diploma (OSSD),John Brennan,304,,2750 14th Avenue,Markham,Ontario,L3R0B6,416-389-7477,,Toronto Region,www.nordeducation.com,Secondary,All Year Round,Online/Site Based,No
Canada Online Academy,666015,Offers credits toward the Ontario Secondary School Diploma (OSSD),Dirk Xu,103,,3470 Pharmacy Avenue,Toronto,Ontario,M1W2S7,416-495-8868,,Central Region,www.coastudy.com,Secondary,All Year Round,Online Only,No
Canada Online Education,667959,,Ana Morales,,,336 Hillcrest Ave.,"North York, Toronto",Ontario,M2N3P6,647-229-9356,,Toronto Region,www.canadaonlineeducation.com,Elem/Sec,Not applicable,Online Only,No
Canada Online School,886512,,Yi Chen Zhou,,,190 Royal Orchard Boulevard,Thornhill,Ontario,L3T3E7,647-521-1567,,Central Region,www.canadaonlineschool.com,Secondary,Not applicable,Online Only,No
Canada Warden School,886087,Offers credits toward the Ontario Secondary School Diploma (OSSD),Darren Frake,211,,3621 Highway 7 East,Markham,Ontario,L3R0G6,905-305-1118,,Central Region,,Secondary,All Year Round,Site based only,No
Canada World Education,669563,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jean-Francois Michaud,202,,9011 Leslie Street,Richmond Hill,Ontario,L4B3B6,647-680-4493,,Central Region,cwelearn.com,Secondary,All Year Round,Online/Site Based,No
Canada eSchool,666211,Offers credits toward the Ontario Secondary School Diploma (OSSD),Diana Reid,,,1033 Main Street West,Hamilton,Ontario,L8S1B7,905-296-2506,,West Region,www.canadaeschool.ca,Secondary,Not applicable,Online Only,No
Canada's National Ballet,886980,Offers credits toward the Ontario Secondary School Diploma (OSSD),Betti ADAMS,,,400 Jarvis Street,Toronto,Ontario,M4Y2G6,416-964-3780,416-964-5125,Toronto Region,http://www.nbs-enb.ca,Elem/Sec,Not applicable,Site based only,No
Canademica,889251,,Miguel Lameiro,200,,60 Atlantic Avenue,Toronto,Ontario,M6K1X9,416-655-2113,,Toronto Region,canademica.com,Elem/Sec,Not applicable,Online Only,AACSB
Canadian Academy of Design and Creative,884329,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ming Zhang,103,,1155 North Service Road W,Oakville,Ontario,L6M3E3,905-616-1618,,Central Region,www.designandcreativemedia.ca,Secondary,Not applicable,Online Only,No
Canadian Academy of Secondary Studies,669784,Offers credits toward the Ontario Secondary School Diploma (OSSD),Laszlo Sztojkovics,,,51 Scarlett Road,York,Ontario,M6N4J8,416-450-0129,,Toronto Region,,Secondary,Not applicable,Online Only,INDEPENDENT AND PRIVATE  SCHOOL FORUM
Canadian Advanced Senior High,882214,,Paul Au,,,217 Alfred Avenue,Toronto,Ontario,M2N3J7,416-577-1374,,Central Region,www.cahigh.org,Secondary,Not applicable,Online Only,No
Canadian Christian Academy,668924,,Elizabeth Rock,,,2275 Wellesley Ave,Windsor,Ontario,N8W2G1,519-974-8411,519-974-2109,West Region,www.canadianchristianacademy.com,Elem/Sec,Not applicable,Site based only,ontario acceleration christian education association
Canadian Independent College,882181,Offers credits toward the Ontario Secondary School Diploma (OSSD),Heather Bohez,,,1855 Notre Dame Dr,St. Agatha,Ontario,N0B2L0,519-954-5955,,West Region,www.cicwaterloo.ca,Secondary,Not applicable,Online/Site Based,CAPSON
Canadian International High School,883898,Offers credits toward the Ontario Secondary School Diploma (OSSD),Anahid Soleimani,,,2850 John Street,Markham,Ontario,L3R2W4,416-835-8379,,Central Region,www.canadianhighschool.org,Secondary,Not applicable,Online/Site Based,No
Canadian International Learning,669781,Offers credits toward the Ontario Secondary School Diploma (OSSD),Asma Azariah,5th floor,,21 King Stret West,Hamilton,Ontario,L8P4W7,905-920-4217,,West Region,,Secondary,All Year Round,Online Only,No
Canadian International Secondary School,884087,Offers credits toward the Ontario Secondary School Diploma (OSSD),Rehan Siddiqui,200,,5670 McAdam Rd.,Mississauga,Ontario,L4Z1T2,647-504-4200,,West Region,,Elem/Sec,All Year Round,Online Only,No
Canadian National Academy,665453,Offers credits toward the Ontario Secondary School Diploma (OSSD),Christian Bayly,3,,209 Lichen Cres,Oshawa,Ontario,L1J7W2,647-818-6479,,East Region,,Elem/Sec,All Year Round,Online/Site Based,No
Canadian STEM School,666031,,Mahshid Kalani,,,472 Brownridge Drive Street,Vaughn,Ontario,L4J5Z9,437-995-7367,,Central Region,canadianstemschool.com,Elem/Sec,Not applicable,Online/Site Based,No
Canadian Tamil Academy,665046,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sivananthan Sabaratnam,,,8 Milner Avenue,Scarborough,Ontario,M1S3P8,416-757-2006,,East Region,www.tamilacademy.org,Secondary,All Year Round,Online/Site Based,No
Canadian Top Science Academy,669209,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ramtin Gerami,201,,10149 Yonge Street,Richmond Hill,Ontario,L4C1T5,,,Central Region,http://www.canadiantopscienceacademy.com,Elem/Sec,Not applicable,Online/Site Based,No
Canadian Virtual School,667979,Offers credits toward the Ontario Secondary School Diploma (OSSD),Miguel Velasco Ramirez,4,,31 Romfield Circuit,Richmond Hill,Ontario,L3T3H4,416-617-4907,,Central Region,CanadianVirtualSchool.online,Secondary,All Year Round,Online Only,No
Canadian private school,883464,Offers credits toward the Ontario Secondary School Diploma (OSSD),Fariborz Khoshnoudian,201B,,10149 Yonge,Richmond hill,Ontario,L4C1T5,647-962-5997,,Central Region,www.canadianprivateschool.ca,Elem/Sec,All Year Round,Online/Site Based,No
Canadians Private School,669676,Offers credits toward the Ontario Secondary School Diploma (OSSD),Fariborz Khoshnoudian,,,396 Patricia Avenue,North York,Ontario,M2R2M9,647-962-5997,647-962-5997,Central Region,www.canadiansprivateschool.com,Elem/Sec,Not applicable,Online/Site Based,No
Canaway Private School,669611,Offers credits toward the Ontario Secondary School Diploma (OSSD),Raul Chong,,,15 Schuster Lane,Thornhill,Ontario,L4J8Y7,289-355-8136,,Central Region,canaway.com/school,Secondary,Not applicable,Online Only,No
Canglory International Academy,669561,Offers credits toward the Ontario Secondary School Diploma (OSSD),Thom Sunega,208,,7300 Warden Avenue,Markham,Ontario,L3R9Z6,647-280-6166,,East Region,CangloryInternationalAcademy.com,Elem/Sec,All Year Round,Online/Site Based,Independent Private School Forum
Canstem Education Private School,665446,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sajjala Sankhe,10,,350 Rutherford Road South Plaza 1,Brampton,Ontario,L6W4N6,647-568-0258,,Central Region,www.canstemeducation.com,Elem/Sec,Not applicable,Online/Site Based,No
CareerQuest - Brampton,668407,,Martha Goosney,303,,201 County Court Boulevard,Brampton,Ontario,L6W4L2,905-455-9347,905-455-3652,Central Region,www.careerquestcanada.com,Secondary,Not applicable,Site based only,No
CareerQuest - Toronto,666541,,Rosemary Toscani,401,,150 Eglinton Avenue East,Toronto,Ontario,M4P1E8,905-281-2106,,Toronto Region,www.careerquestcanada.com,Secondary,Not applicable,Site based only,No
CareerQuest - Vaughan,668752,,Dijana Stankova,500,,55 City Centre Drive,Mississauga,Ontario,L5B1M3,905-281-2106,,Central Region,www.careerquestcanada.com,Secondary,Not applicable,Site based only,No
Carmel New Church School,886653,,Stephanie Kuhl,,,40 Chapel Hill Dr,Kitchener,Ontario,N2R1N2,519-748-5802,519-748-5875,West Region,www.carmelnewchurchschool.org,Elementary,Not applicable,Site based only,Ontario Federation of Independent Schools
Cat Lake Christian School,664521,,Jonathan Larsh,,102,Lakeside Road,Cat Lake,Ontario,P0V1J0,807-212-1990,,North Region,,Elementary,First Nation,Site based only,No
Cedar Echo Parochial School,668792,,Bernice Kuepfer,,,299 BRUCE ROAD 11 3,CHESLEY,Ontario,N0G1L0,,,West Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Cedar Grove Christian Day School,887439,,Wayne Gerber,,,4831 Deborah-Glaister Line,Wellesley,Ontario,N0B2T0,519-656-3433,519-656-8769,West Region,,Elementary,Not applicable,Site based only,No
Cedar Heights Parochial School,882985,,Betty Martin,,,1323 Heights Rd 3,Lindsay,Ontario,K9V4R3,,,East Region,,Elementary,Not applicable,Site based only,Waterloo-Wellington-Perth Parochial Schools
Cedar Springs Parochial School,880639,,Hannah Brubacher,,,90394 Gorrie Line 1,Wroxeter,Ontario,N0G2X0,,,West Region,,Elementary,Not applicable,Site based only,Othodox Mennonite Parochial Schools
Cedar Valley School,880334,,Hodgson Ben,,,19767 County Road 43,Alexandria,Ontario,K0C1B0,613-525-1695,613-525-1695,East Region,,Elem/Sec,Not applicable,Online/Site Based,No
Cedarvale Christian School,669257,,Lawrence Martin,,,5405 11th Line,Harriston,Ontario,N0G1Z0,519-338-2290,,West Region,,Elem/Sec,Not applicable,Site based only,No
Cedarville Breezes Parochial School,882412,,Carolyn Martin,,,085165 Grey Road 14,Conn,Ontario,N0G1N0,,,West Region,,Elementary,Not applicable,Site based only,Waterloo Wellington Perth Parochial Schools
Central Baptist Academy,880094,,Carolyn Staats,,,300 Fairview Dr,Brantford,Ontario,N3R2X6,519-754-4806,519-754-4201,West Region,http://www.cbabrantford.ca,Elementary,Not applicable,Site based only,Association of Christian Schools International
Central Montessori School - Thornhill,881225,,ATIYA HUSAIN,,,72 Steeles Avenue West,Thornhill,Ontario,L4J1A1,905-889-0012,,Central Region,,Elementary,Not applicable,Site based only,"OFIS, CCMA, IMC"
Central Montessori School - York Mills,668846,,Marjan Giahi,,,18 Coldwater Road,Toronto,Ontario,M3B1Y7,416-510-1200,,Central Region,,Elementary,Not applicable,Site based only,"OFIS, CCMA, IMC"
Central Montessori Schools,877727,,ATIYA HUSAIN,,,157 Willowdale Ave,Toronto,Ontario,M2N4Y3,416-250-1022,,Central Region,www.cmschool.net,Elementary,Not applicable,Site based only,"OFIS, CCMA, IMC"
Centre Kinloss Parochial School,877883,,Elsie Martin,,,548 Statters Lake Ave 1,Holyrood,Ontario,N0G2B0,,,West Region,,Elementary,Not applicable,Site based only,Orthodox Mennonite Parochial Schools
Century Private School,665166,,Charlene Cannito,,,11181 Yonge Street,Richmond Hill,Ontario,L4S1L2,905-737-1160,905-737-5867,Central Region,www.centurypscanada.com,Elementary,Not applicable,Site based only,No
Century Private School HS,669694,Offers credits toward the Ontario Secondary School Diploma (OSSD),Antonietta Savo,,,11181 Yonge Street,Richmond Hill,Ontario,L4S1L2,905-737-1160,905-737-5867,Central Region,centurypscanada.com,Secondary,Not applicable,Site based only,No
Cestar High School,885635,Offers credits toward the Ontario Secondary School Diploma (OSSD),Muneeb Shaikh,200,,259 Yorkland Road,Toronto,Ontario,M2J0B5,416-485-8588,,Central Region,www.cestarhighschool.com,Elem/Sec,All Year Round,Online/Site Based,No
Charing Cross Christian School,882672,,Johan Peters,,113,8684 Cundle Line,Charing Cross,Ontario,N0P1G0,226-626-5518,,West Region,,Elementary,Not applicable,Site based only,No
Chatham Christian,885282,,Ken VanMinnen,,,475 Keil Dr S,Chatham,Ontario,N7M6L8,519-352-4980,519-352-4041,West Region,www.chathamchristian.ca,Elementary,Not applicable,Site based only,Edvance Christian Schools Association
Chatham Christian High School,888540,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ken VanMinnen,,,475 Keil Dr S,Chatham,Ontario,N7M6L8,519-352-4980,519-352-4041,West Region,www.chathamchristian.ca,Secondary,Not applicable,Site based only,Edvance Christian Schools Association
Chesterton Academy of Ottawa,669918,,Terry Stevens,,,415 Piccadilly Ave,Ottawa,Ontario,K1Y0H3,613-518-8117,,East Region,chestertonacademyofottawa.ca,Secondary,Not applicable,Site based only,Chesterton Schools Network
Chief Simeon McKay Education Centre,663360,Offers credits toward the Ontario Secondary School Diploma (OSSD),Alicia Flynn,,Box 120,,Kasabonika,Ontario,P0V1Y0,807-535-2574,807-535-1108,North Region,,Secondary,First Nation,Site based only,local Education Authority
Children's Garden Junior School,877824,,Marie Bates,,,670 Eglinton Ave E,Toronto,Ontario,M4G2K4,416-423-5017,416-423-0727,Toronto Region,www.cgsschool.com,Elementary,Not applicable,Site based only,No
"Children's House Montessori, The",878847,,Laurie Forbes,,,16150 Old Simcoe Rd,Port Perry,Ontario,L9L1P3,905-985-3431,905-985-6632,East Region,www.childrenshouse.ca,Elementary,Not applicable,Site based only,Association Montessori Internationale
Children's Learning Garden Inc,668843,,Shazia Afzal,,,370 Queen Street South,Mississauga,Ontario,L5M1M2,905-821-3424,,Central Region,http://childrenslg.com,Elementary,Not applicable,Site based only,No
