Topic,Characteristics,,Total
Income of individuals in 2015,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 100% data,,80560
Income of individuals in 2015,  Number of total income recipients aged 15 years and over in private households - 100% data,,76700
Income of individuals in 2015,    Median total income in 2015 among recipients ($),,42682
Income of individuals in 2015,  Number of after-tax income recipients aged 15 years and over in private households - 100% data,,76705
Income of individuals in 2015,    Median after-tax income in 2015 among recipients ($),,37943
Income of individuals in 2015,  Number of market income recipients aged 15 years and over in private households - 100% data,,70600
Income of individuals in 2015,    Median market income in 2015 among recipients ($),,42940
Income of individuals in 2015,  Number of government transfers recipients aged 15 years and over in private households - 100% data,,51955
Income of individuals in 2015,    Median government transfers in 2015 among recipients ($),,2407
Income of individuals in 2015,  Number of employment income recipients aged 15 years and over in private households - 100% data,,63405
Income of individuals in 2015,    Median employment income in 2015 among recipients ($),,44594
Income of individuals in 2015,Total - Income statistics in 2015 for the population aged 15 years and over in private households - 25% sample data,,80560
Income of individuals in 2015,  Number of total income recipients aged 15 years and over in private households - 25% sample data,,76675
Income of individuals in 2015,    Average total income in 2015 among recipients ($),,53687
Income of individuals in 2015,  Number of after-tax income recipients aged 15 years and over in private households - 25% sample data,,76680
Income of individuals in 2015,    Average after-tax income in 2015 among recipients ($),,43685
Income of individuals in 2015,  Number of market income recipients aged 15 years and over in private households - 25% sample data,,70640
Income of individuals in 2015,    Average market income in 2015 among recipients ($),,53934
Income of individuals in 2015,  Number of government transfers recipients aged 15 years and over in private households - 25% sample data,,51745
Income of individuals in 2015,    Average government transfers in 2015 among recipients ($),,5919
Income of individuals in 2015,  Number of employment income recipients aged 15 years and over in private households - 25% sample data,,63405
Income of individuals in 2015,    Average employment income in 2015 among recipients ($),,53954
Income of individuals in 2015,Total - Employment income statistics for the population aged 15 years and over in private households - 25% sample data,,80560
Income of individuals in 2015,  Number of employment income recipients aged 15 years and over in private households who worked full year full time in 2015 - 25% sample data,,34525
Income of individuals in 2015,    Median employment income in 2015 for full-year full-time workers ($),,64106
Income of individuals in 2015,    Average employment income in 2015 for full-year full-time workers ($),,73291
Income of individuals in 2015,Composition of total income in 2015 of the population aged 15 years and over in private households (%) - 100% data,,100
Income of individuals in 2015,  Market income (%),,92.6
Income of individuals in 2015,    Employment income (%),,83.2
Income of individuals in 2015,  Government transfers (%),,7.4
Income of individuals in 2015,Total - Total income groups in 2015 for the population aged 15 years and over in private households - 100% data,,80555
Income of individuals in 2015,  Without total income,,3865
Income of individuals in 2015,  With total income,,76695
Income of individuals in 2015,  Percentage with total income,,95.2
Income of individuals in 2015,    Under $10;000 (including loss),,11790
Income of individuals in 2015,    $10;000 to $19;999,,9915
Income of individuals in 2015,    $20;000 to $29;999,,7815
Income of individuals in 2015,    $30;000 to $39;999,,6875
Income of individuals in 2015,    $40;000 to $49;999,,7175
Income of individuals in 2015,    $50;000 to $59;999,,6515
Income of individuals in 2015,    $60;000 to $69;999,,5650
Income of individuals in 2015,    $70;000 to $79;999,,4700
Income of individuals in 2015,    $80;000 to $89;999,,3865
Income of individuals in 2015,    $90;000 to $99;999,,3425
Income of individuals in 2015,    $100;000 and over,,8960
Income of individuals in 2015,      $100;000 to $149;999,,6345
Income of individuals in 2015,      $150;000 and over,,2620
Income of individuals in 2015,Total - After-tax income groups in 2015 for the population aged 15 years and over in private households - 100% data,,80560
Income of individuals in 2015,  Without after-tax income,,3855
Income of individuals in 2015,  With after-tax income,,76705
Income of individuals in 2015,  Percentage with after-tax income,,95.2
Income of individuals in 2015,    Under $10;000 (including loss),,12015
Income of individuals in 2015,    $10;000 to $19;999,,10385
Income of individuals in 2015,    $20;000 to $29;999,,9160
Income of individuals in 2015,    $30;000 to $39;999,,8680
Income of individuals in 2015,    $40;000 to $49;999,,9055
Income of individuals in 2015,    $50;000 to $59;999,,7725
Income of individuals in 2015,    $60;000 to $69;999,,5935
Income of individuals in 2015,    $70;000 to $79;999,,4975
Income of individuals in 2015,    $80;000 and over,,8780
Income of individuals in 2015,      $80;000 to $89;999,,3150
Income of individuals in 2015,      $90;000 to $99;999,,1780
Income of individuals in 2015,      $100;000 and over,,3840
Income of individuals in 2015,Total - Employment income groups in 2015 for the population aged 15 years and over in private households - 100% data,,80555
Income of individuals in 2015,  Without employment income,,17155
Income of individuals in 2015,  With employment income,,63405
Income of individuals in 2015,  Percentage with employment income,,78.7
Income of individuals in 2015,    Under $5;000 (including loss),,6840
Income of individuals in 2015,    $5;000 to $9;999,,4370
Income of individuals in 2015,    $10;000 to $19;999,,7100
Income of individuals in 2015,    $20;000 to $29;999,,5585
Income of individuals in 2015,    $30;000 to $39;999,,5200
Income of individuals in 2015,    $40;000 to $49;999,,5620
Income of individuals in 2015,    $50;000 to $59;999,,5350
Income of individuals in 2015,    $60;000 to $69;999,,4875
Income of individuals in 2015,    $70;000 to $79;999,,4080
Income of individuals in 2015,    $80;000 and over,,14380
Income of individuals in 2015,      $80;000 to $89;999,,3510
Income of individuals in 2015,      $90;000 to $99;999,,3085
Income of individuals in 2015,      $100;000 and over,,7785
Income of households in 2015,Total - Income statistics in 2015 for private households by household size - 100% data,,34255
Income of households in 2015,  Median total income of households in 2015 ($),,104730
Income of households in 2015,  Median after-tax income of households in 2015 ($),,88711
Income of households in 2015,    Total - Income statistics in 2015 for one-person private households - 100% data,,4490
Income of households in 2015,      Median total income of one-person households in 2015 ($),,54184
Income of households in 2015,      Median after-tax income of one-person households in 2015 ($),,45690
Income of households in 2015,    Total - Income statistics in 2015 for two-or-more-person private households - 100% data,,29760
Income of households in 2015,      Median total income of two-or-more-person households in 2015 ($),,113298
Income of households in 2015,      Median after-tax income of two-or-more-person households in 2015 ($),,95760
Income of households in 2015,Total - Income statistics in 2015 for private households by household size - 25% sample data,,34260
Income of households in 2015,  Average total income of households in 2015 ($),,120157
Income of households in 2015,  Average after-tax income of households in 2015 ($),,97783
Income of households in 2015,    Total - Income statistics in 2015 for one-person private households - 25% sample data,,4495
Income of households in 2015,      Average total income of one-person households in 2015 ($),,63215
Income of households in 2015,      Average after-tax income of one-person households in 2015 ($),,50721
Income of households in 2015,    Total - Income statistics in 2015 for two-or-more-person private households - 25% sample data,,29765
Income of households in 2015,      Average total income of two-or-more-person households in 2015 ($),,128755
Income of households in 2015,      Average after-tax income of two-or-more-person households in 2015 ($),,104889
Income of households in 2015,Total - Household total income groups in 2015 for private households - 100% data,,34255
Income of households in 2015,  Under $5;000,,320
Income of households in 2015,  $5;000 to $9;999,,165
Income of households in 2015,  $10;000 to $14;999,,285
Income of households in 2015,  $15;000 to $19;999,,405
Income of households in 2015,  $20;000 to $24;999,,535
Income of households in 2015,  $25;000 to $29;999,,605
Income of households in 2015,  $30;000 to $34;999,,640
Income of households in 2015,  $35;000 to $39;999,,815
Income of households in 2015,  $40;000 to $44;999,,835
Income of households in 2015,  $45;000 to $49;999,,860
Income of households in 2015,  $50;000 to $59;999,,1910
Income of households in 2015,  $60;000 to $69;999,,2075
Income of households in 2015,  $70;000 to $79;999,,2110
Income of households in 2015,  $80;000 to $89;999,,2245
Income of households in 2015,  $90;000 to $99;999,,2275
Income of households in 2015,  $100;000 and over,,18165
Income of households in 2015,    $100;000 to $124;999,,5270
Income of households in 2015,    $125;000 to $149;999,,4230
Income of households in 2015,    $150;000 to $199;999,,4985
Income of households in 2015,    $200;000 and over,,3675
Income of households in 2015,Total - Household after-tax income groups in 2015 for private households - 100% data,,34260
Income of households in 2015,  Under $5;000,,355
Income of households in 2015,  $5;000 to $9;999,,175
Income of households in 2015,  $10;000 to $14;999,,290
Income of households in 2015,  $15;000 to $19;999,,425
Income of households in 2015,  $20;000 to $24;999,,595
Income of households in 2015,  $25;000 to $29;999,,675
Income of households in 2015,  $30;000 to $34;999,,755
Income of households in 2015,  $35;000 to $39;999,,965
Income of households in 2015,  $40;000 to $44;999,,1105
Income of households in 2015,  $45;000 to $49;999,,1110
Income of households in 2015,  $50;000 to $59;999,,2520
Income of households in 2015,  $60;000 to $69;999,,2710
Income of households in 2015,  $70;000 to $79;999,,2905
Income of households in 2015,  $80;000 to $89;999,,2905
Income of households in 2015,  $90;000 to $99;999,,2775
Income of households in 2015,  $100;000 and over,,13995
Income of households in 2015,    $100;000 to $124;999,,5720
Income of households in 2015,    $125;000 to $149;999,,3695
Income of households in 2015,    $150;000 and over,,4580
Income of economic families in 2015,Total - Income statistics in 2015 for economic families in private households - 100% data,,29465
Income of economic families in 2015,  Median total income of economic families in 2015 ($),,112626
Income of economic families in 2015,  Median after-tax income of economic families in 2015 ($),,95138
Income of economic families in 2015,  Average family size of economic families,,3.5
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 100% data,,7075
Income of economic families in 2015,  Median total income of couple economic families without children or other relatives in 2015 ($),,103168
Income of economic families in 2015,  Median after-tax income of couple economic families without children or other relatives in 2015 ($),,87176
Income of economic families in 2015,  Average family size of couple economic families without children or other relatives,,2
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families with children in private households - 100% data,,18665
Income of economic families in 2015,  Median total income of couple economic families with children in 2015 ($),,124084
Income of economic families in 2015,  Median after-tax income of couple economic families with children in 2015 ($),,104306
Income of economic families in 2015,  Average family size of couple economic families with children,,4.2
Income of economic families in 2015,Total - Income statistics in 2015 for lone-parent economic families in private households - 100% data,,3135
Income of economic families in 2015,  Median total income of lone-parent economic families in 2015 ($),,72017
Income of economic families in 2015,  Median after-tax income of lone-parent economic families in 2015 ($),,63262
Income of economic families in 2015,  Average family size of lone-parent economic families,,2.7
Income of economic families in 2015,Total - Income statistics in 2015 for economic families in private households - 25% sample data,,29460
Income of economic families in 2015,  Average total income of economic families in 2015 ($),,127360
Income of economic families in 2015,  Average after-tax income of economic families in 2015 ($),,103853
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families without children or other relatives in private households - 25% sample data,,7135
Income of economic families in 2015,  Average total income of couple economic families without children or other relatives in 2015 ($),,117658
Income of economic families in 2015,  Average after-tax income of couple economic families without children or other relatives in 2015 ($),,94942
Income of economic families in 2015,Total - Income statistics in 2015 for couple economic families with children in private households - 25% sample data,,18655
Income of economic families in 2015,  Average total income of couple economic families with children in 2015 ($),,138878
Income of economic families in 2015,  Average after-tax income of couple economic families with children in 2015 ($),,113071
Income of economic families in 2015,Total - Income statistics in 2015 for lone-parent economic families in private households - 25% sample data,,3105
Income of economic families in 2015,  Average total income of lone-parent economic families in 2015 ($),,80462
Income of economic families in 2015,  Average after-tax income of lone-parent economic families in 2015 ($),,68820
Income of economic families in 2015,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 100% data,,5970
Income of economic families in 2015,  Median total income in 2015 for persons aged 15 years and over not in economic families ($),,47991
Income of economic families in 2015,  Median after-tax income in 2015 for persons aged 15 years and over not in economic families ($),,41453
Income of economic families in 2015,Total - Income statistics in 2015 for persons aged 15 years and over not in economic families in private households - 25% sample data,,5970
Income of economic families in 2015,  Average total income in 2015 for persons aged 15 years and over not in economic families ($),,61045
Income of economic families in 2015,  Average after-tax income in 2015 for persons aged 15 years and over not in economic families ($),,48644
Income of economic families in 2015,Total - Economic family income decile group for the population in private households - 100% data,,108935
Income of economic families in 2015,  In the bottom half of the distribution,,41210
Income of economic families in 2015,    In the bottom decile,,6005
Income of economic families in 2015,    In the second decile,,6950
Income of economic families in 2015,    In the third decile,,8305
Income of economic families in 2015,    In the fourth decile,,9265
Income of economic families in 2015,    In the fifth decile,,10680
Income of economic families in 2015,  In the top half of the distribution,,67725
Income of economic families in 2015,    In the sixth decile,,12125
Income of economic families in 2015,    In the seventh decile,,13040
Income of economic families in 2015,    In the eighth decile,,14565
Income of economic families in 2015,    In the ninth decile,,15540
Income of economic families in 2015,    In the top decile,,12455
Low income in 2015,Total - Low-income status in 2015 for the population in private households to whom low-income concepts are applicable - 100% data,,108935
Low income in 2015,  0 to 17 years,,32435
Low income in 2015,    0 to 5 years,,11315
Low income in 2015,  18 to 64 years,,66915
Low income in 2015,  65 years and over,,9590
Low income in 2015,In low income based on the Low-income measure; after tax (LIM-AT),,9435
Low income in 2015,  0 to 17 years,,3570
Low income in 2015,    0 to 5 years,,1050
Low income in 2015,  18 to 64 years,,5115
Low income in 2015,  65 years and over,,745
Low income in 2015,Prevalence of low income based on the Low-income measure; after tax (LIM-AT) (%),,8.7
Low income in 2015,  0 to 17 years (%),,11
Low income in 2015,    0 to 5 years (%),,9.3
Low income in 2015,  18 to 64 years (%),,7.6
Low income in 2015,  65 years and over (%),,7.8
Low income in 2015,In low income based on the Low-income cut-offs; after tax (LICO-AT),,4855
Low income in 2015,  0 to 17 years,,1715
Low income in 2015,    0 to 5 years,,520
Low income in 2015,  18 to 64 years,,2885
Low income in 2015,  65 years and over,,255
Low income in 2015,Prevalence of low income based on the Low-income cut-offs; after tax (LICO-AT) (%),,4.5
Low income in 2015,  0 to 17 years (%),,5.3
Low income in 2015,    0 to 5 years (%),,4.6
Low income in 2015,  18 to 64 years (%),,4.3
Low income in 2015,  65 years and over (%),,2.7
Knowledge of languages,Total - Knowledge of languages for the population in private households - 25% sample data,,108935
Knowledge of languages,  Official languages,,107245
Knowledge of languages,    English,,107110
Knowledge of languages,    French,,8800
Knowledge of languages,  Non-official languages,,45600
Knowledge of languages,    Aboriginal languages,,10
Knowledge of languages,      Algonquian languages,,0
Knowledge of languages,        Blackfoot,,0
Knowledge of languages,        Cree-Montagnais languages,,0
Knowledge of languages,          Atikamekw,,0
Knowledge of languages,          Montagnais (Innu),,0
Knowledge of languages,          Moose Cree,,0
Knowledge of languages,          Naskapi,,0
Knowledge of languages,          Northern East Cree,,0
Knowledge of languages,          Plains Cree,,0
Knowledge of languages,          Southern East Cree,,0
Knowledge of languages,          Swampy Cree,,0
Knowledge of languages,          Woods Cree,,0
Knowledge of languages,          Cree; n.o.s.,,0
Knowledge of languages,        Eastern Algonquian languages,,0
Knowledge of languages,          Malecite,,0
Knowledge of languages,          Mi'kmaq,,0
Knowledge of languages,        Ojibway-Potawatomi languages,,0
Knowledge of languages,          Algonquin,,0
Knowledge of languages,          Ojibway,,10
Knowledge of languages,          Oji-Cree,,0
Knowledge of languages,          Ottawa (Odawa),,0
Knowledge of languages,        Algonquian languages; n.i.e.,,0
Knowledge of languages,      Athabaskan languages,,0
Knowledge of languages,        Northern Athabaskan languages,,0
Knowledge of languages,          Babine (Wetsuwet'en),,0
Knowledge of languages,          Beaver,,0
Knowledge of languages,          Carrier,,0
Knowledge of languages,          Chilcotin,,0
Knowledge of languages,          Dene,,0
Knowledge of languages,          Dogrib (Tlicho),,0
Knowledge of languages,          Gwich'in,,0
Knowledge of languages,          Sarsi (Sarcee),,0
Knowledge of languages,          Sekani,,0
Knowledge of languages,          Slavey-Hare languages,,0
Knowledge of languages,            North Slavey (Hare),,0
Knowledge of languages,            South Slavey,,0
Knowledge of languages,            Slavey; n.o.s.,,0
Knowledge of languages,          Tahltan languages,,0
Knowledge of languages,            Kaska (Nahani),,0
Knowledge of languages,            Tahltan,,0
Knowledge of languages,          Tutchone languages,,0
Knowledge of languages,            Northern Tutchone,,0
Knowledge of languages,            Southern Tutchone,,0
Knowledge of languages,        Athabaskan languages; n.i.e.,,0
Knowledge of languages,      Haida,,0
Knowledge of languages,      Inuit languages,,0
Knowledge of languages,        Inuinnaqtun (Inuvialuktun),,0
Knowledge of languages,        Inuktitut,,0
Knowledge of languages,        Inuit languages; n.i.e.,,0
Knowledge of languages,      Iroquoian languages,,0
Knowledge of languages,        Cayuga,,0
Knowledge of languages,        Mohawk,,0
Knowledge of languages,        Oneida,,0
Knowledge of languages,        Iroquoian languages; n.i.e.,,0
Knowledge of languages,      Kutenai,,0
Knowledge of languages,      Michif,,0
Knowledge of languages,      Salish languages,,0
Knowledge of languages,        Comox,,0
Knowledge of languages,        Halkomelem,,0
Knowledge of languages,        Lillooet,,0
Knowledge of languages,        Okanagan,,0
Knowledge of languages,        Shuswap (Secwepemctsin),,0
Knowledge of languages,        Squamish,,0
Knowledge of languages,        Straits,,0
Knowledge of languages,        Thompson (Ntlakapamux),,0
Knowledge of languages,        Salish languages; n.i.e.,,0
Knowledge of languages,      Siouan languages,,0
Knowledge of languages,        Dakota,,0
Knowledge of languages,        Stoney,,0
Knowledge of languages,        Siouan languages; n.i.e.,,0
Knowledge of languages,      Tlingit,,0
Knowledge of languages,      Tsimshian languages,,0
Knowledge of languages,        Gitxsan (Gitksan),,0
Knowledge of languages,        Nisga'a,,0
Knowledge of languages,        Tsimshian,,0
Knowledge of languages,      Wakashan languages,,0
Knowledge of languages,        Haisla,,0
Knowledge of languages,        Heiltsuk,,0
Knowledge of languages,        Kwakiutl (Kwak'wala),,0
Knowledge of languages,        Nuu-chah-nulth (Nootka),,0
Knowledge of languages,        Wakashan languages; n.i.e.,,0
Knowledge of languages,      Aboriginal languages; n.o.s.,,0
Knowledge of languages,    Non-Aboriginal languages,,45595
Knowledge of languages,      Afro-Asiatic languages,,4570
Knowledge of languages,        Berber languages,,10
Knowledge of languages,          Kabyle,,10
Knowledge of languages,          Berber languages; n.i.e.,,0
Knowledge of languages,        Cushitic languages,,55
Knowledge of languages,          Bilen,,10
Knowledge of languages,          Oromo,,0
Knowledge of languages,          Somali,,50
Knowledge of languages,          Cushitic languages; n.i.e.,,0
Knowledge of languages,        Semitic languages,,4525
Knowledge of languages,          Amharic,,25
Knowledge of languages,          Arabic,,4130
Knowledge of languages,          Assyrian Neo-Aramaic,,170
Knowledge of languages,          Chaldean Neo-Aramaic,,60
Knowledge of languages,          Harari,,0
Knowledge of languages,          Hebrew,,65
Knowledge of languages,          Maltese,,130
Knowledge of languages,          Tigrigna,,20
Knowledge of languages,          Semitic languages; n.i.e.,,20
Knowledge of languages,        Afro-Asiatic languages; n.i.e.,,0
Knowledge of languages,      Austro-Asiatic languages,,565
Knowledge of languages,        Khmer (Cambodian),,25
Knowledge of languages,        Vietnamese,,535
Knowledge of languages,        Austro-Asiatic languages; n.i.e.,,0
Knowledge of languages,      Austronesian languages,,2615
Knowledge of languages,        Bikol,,10
Knowledge of languages,        Cebuano,,115
Knowledge of languages,        Fijian,,0
Knowledge of languages,        Hiligaynon,,15
Knowledge of languages,        Ilocano,,45
Knowledge of languages,        Malagasy,,0
Knowledge of languages,        Malay,,140
Knowledge of languages,        Pampangan (Kapampangan; Pampango),,30
Knowledge of languages,        Pangasinan,,10
Knowledge of languages,        Tagalog (Pilipino; Filipino),,2430
Knowledge of languages,        Waray-Waray,,0
Knowledge of languages,        Austronesian languages; n.i.e.,,0
Knowledge of languages,      Creole languages,,195
Knowledge of languages,        Haitian Creole,,10
Knowledge of languages,        Creole; n.o.s.,,110
Knowledge of languages,        Creole languages; n.i.e.,,70
Knowledge of languages,      Dravidian languages,,1875
Knowledge of languages,        Kannada,,105
Knowledge of languages,        Malayalam,,390
Knowledge of languages,        Tamil,,1130
Knowledge of languages,        Telugu,,375
Knowledge of languages,        Dravidian languages; n.i.e.,,10
Knowledge of languages,      Hmong-Mien languages,,0
Knowledge of languages,      Indo-European languages,,32565
Knowledge of languages,        Albanian,,175
Knowledge of languages,        Armenian,,40
Knowledge of languages,        Balto-Slavic languages,,4875
Knowledge of languages,          Baltic languages,,20
Knowledge of languages,            Latvian,,15
Knowledge of languages,            Lithuanian,,10
Knowledge of languages,          Slavic languages,,4855
Knowledge of languages,            Belarusan,,10
Knowledge of languages,            Bosnian,,90
Knowledge of languages,            Bulgarian,,85
Knowledge of languages,            Croatian,,865
Knowledge of languages,            Czech,,125
Knowledge of languages,            Macedonian,,225
Knowledge of languages,            Polish,,2295
Knowledge of languages,            Russian,,715
Knowledge of languages,            Serbian,,395
Knowledge of languages,            Serbo-Croatian,,45
Knowledge of languages,            Slovak,,35
Knowledge of languages,            Slovene (Slovenian),,65
Knowledge of languages,            Ukrainian,,395
Knowledge of languages,            Slavic languages; n.i.e.,,0
Knowledge of languages,        Celtic languages,,20
Knowledge of languages,          Scottish Gaelic,,10
Knowledge of languages,          Welsh,,10
Knowledge of languages,          Celtic languages; n.i.e.,,10
Knowledge of languages,        Germanic languages,,1215
Knowledge of languages,          Afrikaans,,80
Knowledge of languages,          Danish,,50
Knowledge of languages,          Dutch,,295
Knowledge of languages,          Frisian,,15
Knowledge of languages,          German,,755
Knowledge of languages,          Icelandic,,0
Knowledge of languages,          Norwegian,,30
Knowledge of languages,          Swedish,,35
Knowledge of languages,          Vlaams (Flemish),,0
Knowledge of languages,          Yiddish,,10
Knowledge of languages,          Germanic languages; n.i.e.,,0
Knowledge of languages,        Greek,,370
Knowledge of languages,        Indo-Iranian languages,,18405
Knowledge of languages,          Indo-Aryan languages,,17430
Knowledge of languages,            Bengali,,565
Knowledge of languages,            Gujarati,,1080
Knowledge of languages,            Hindi,,3545
Knowledge of languages,            Kashmiri,,15
Knowledge of languages,            Konkani,,85
Knowledge of languages,            Marathi,,80
Knowledge of languages,            Nepali,,35
Knowledge of languages,            Oriya (Odia),,15
Knowledge of languages,            Punjabi (Panjabi),,3820
Knowledge of languages,            Sindhi,,335
Knowledge of languages,            Sinhala (Sinhalese),,225
Knowledge of languages,            Urdu,,11345
Knowledge of languages,          Iranian languages,,1150
Knowledge of languages,            Kurdish,,20
Knowledge of languages,            Pashto,,330
Knowledge of languages,            Persian (Farsi),,865
Knowledge of languages,          Indo-Iranian languages; n.i.e.,,95
Knowledge of languages,        Italic (Romance) languages,,7855
Knowledge of languages,          Catalan,,0
Knowledge of languages,          Italian,,1895
Knowledge of languages,          Portuguese,,2100
Knowledge of languages,          Romanian,,500
Knowledge of languages,          Spanish,,3530
Knowledge of languages,          Italic (Romance) languages; n.i.e.,,0
Knowledge of languages,      Japanese,,145
Knowledge of languages,      Kartvelian languages,,0
Knowledge of languages,        Georgian,,0
Knowledge of languages,      Korean,,505
Knowledge of languages,      Mongolic languages,,0
Knowledge of languages,        Mongolian,,0
Knowledge of languages,      Niger-Congo languages,,755
Knowledge of languages,        Akan (Twi),,180
Knowledge of languages,        Bamanankan,,0
Knowledge of languages,        Edo,,15
Knowledge of languages,        Ewe,,0
Knowledge of languages,        Fulah (Pular; Pulaar; Fulfulde),,0
Knowledge of languages,        Ga,,15
Knowledge of languages,        Ganda,,30
Knowledge of languages,        Igbo,,20
Knowledge of languages,        Lingala,,60
Knowledge of languages,        Rundi (Kirundi),,25
Knowledge of languages,        Kinyarwanda (Rwanda),,20
Knowledge of languages,        Shona,,25
Knowledge of languages,        Swahili,,115
Knowledge of languages,        Wolof,,0
Knowledge of languages,        Yoruba,,185
Knowledge of languages,        Niger-Congo languages; n.i.e.,,135
Knowledge of languages,      Nilo-Saharan languages,,30
Knowledge of languages,        Dinka,,20
Knowledge of languages,        Nilo-Saharan languages; n.i.e.,,15
Knowledge of languages,      Sign languages,,345
Knowledge of languages,        American Sign Language,,280
Knowledge of languages,        Quebec Sign Language,,0
Knowledge of languages,        Sign languages; n.i.e.,,90
Knowledge of languages,      Sino-Tibetan languages,,2005
Knowledge of languages,        Chinese languages,,1975
Knowledge of languages,          Cantonese,,760
Knowledge of languages,          Hakka,,10
Knowledge of languages,          Mandarin,,1280
Knowledge of languages,          Min Dong,,0
Knowledge of languages,          Min Nan (Chaochow; Teochow; Fukien; Taiwanese),,55
Knowledge of languages,          Wu (Shanghainese),,15
Knowledge of languages,          Chinese; n.o.s.,,35
Knowledge of languages,          Chinese languages; n.i.e.,,0
Knowledge of languages,        Tibeto-Burman languages,,25
Knowledge of languages,          Burmese,,0
Knowledge of languages,          Karenic languages,,0
Knowledge of languages,          Tibetan,,25
Knowledge of languages,          Tibeto-Burman languages; n.i.e.,,0
Knowledge of languages,      Tai-Kadai languages,,60
Knowledge of languages,        Lao,,25
Knowledge of languages,        Thai,,35
Knowledge of languages,        Tai-Kadai languages; n.i.e.,,0
Knowledge of languages,      Turkic languages,,265
Knowledge of languages,        Azerbaijani,,0
Knowledge of languages,        Turkish,,255
Knowledge of languages,        Uyghur,,0
Knowledge of languages,        Uzbek,,0
Knowledge of languages,        Turkic languages; n.i.e.,,15
Knowledge of languages,      Uralic languages,,230
Knowledge of languages,        Estonian,,15
Knowledge of languages,        Finnish,,30
Knowledge of languages,        Hungarian,,185
Knowledge of languages,        Uralic languages; n.i.e.,,0
Knowledge of languages,      Other languages; n.i.e.,,15
Citizenship,Total - Citizenship for the population in private households - 25% sample data,,108935
Citizenship,  Canadian citizens,,99725
Citizenship,    Canadian citizens aged under 18,,30635
Citizenship,    Canadian citizens aged 18 and over,,69085
Citizenship,  Not Canadian citizens,,9215
Immigrant status and period of immigration,Total - Immigrant status and period of immigration for the population in private households - 25% sample data,,108935
Immigrant status and period of immigration,  Non-immigrants,,68880
Immigrant status and period of immigration,  Immigrants,,39105
Immigrant status and period of immigration,    Before 1981,,6545
Immigrant status and period of immigration,    1981 to 1990,,4320
Immigrant status and period of immigration,    1991 to 2000,,8740
Immigrant status and period of immigration,    2001 to 2010,,13870
Immigrant status and period of immigration,      2001 to 2005,,7675
Immigrant status and period of immigration,      2006 to 2010,,6200
Immigrant status and period of immigration,    2011 to 2016,,5635
Immigrant status and period of immigration,  Non-permanent residents,,950
Age at immigration,Total - Age at immigration for the immigrant population in private households - 25% sample data,,39105
Age at immigration,  Under 5 years,,4810
Age at immigration,  5 to 14 years,,7555
Age at immigration,  15 to 24 years,,7450
Age at immigration,  25 to 44 years,,16310
Age at immigration,  45 years and over,,2975
Immigrants by selected place of birth,Total - Selected places of birth for the immigrant population in private households - 25% sample data,,39105
Immigrants by selected place of birth,  Americas,,5485
Immigrants by selected place of birth,    Brazil,,270
Immigrants by selected place of birth,    Colombia,,705
Immigrants by selected place of birth,    El Salvador,,135
Immigrants by selected place of birth,    Guyana,,370
Immigrants by selected place of birth,    Haiti,,10
Immigrants by selected place of birth,    Jamaica,,1010
Immigrants by selected place of birth,    Mexico,,265
Immigrants by selected place of birth,    Peru,,205
Immigrants by selected place of birth,    Trinidad and Tobago,,515
Immigrants by selected place of birth,    United States,,1010
Immigrants by selected place of birth,    Other places of birth in Americas,,990
Immigrants by selected place of birth,  Europe,,8925
Immigrants by selected place of birth,    Bosnia and Herzegovina,,195
Immigrants by selected place of birth,    Croatia,,290
Immigrants by selected place of birth,    France,,85
Immigrants by selected place of birth,    Germany,,345
Immigrants by selected place of birth,    Greece,,95
Immigrants by selected place of birth,    Hungary,,100
Immigrants by selected place of birth,    Ireland,,180
Immigrants by selected place of birth,    Italy,,690
Immigrants by selected place of birth,    Netherlands,,195
Immigrants by selected place of birth,    Poland,,1540
Immigrants by selected place of birth,    Portugal,,815
Immigrants by selected place of birth,    Romania,,405
Immigrants by selected place of birth,    Russian Federation,,200
Immigrants by selected place of birth,    Serbia,,115
Immigrants by selected place of birth,    Ukraine,,230
Immigrants by selected place of birth,    United Kingdom,,2540
Immigrants by selected place of birth,    Other places of birth in Europe,,910
Immigrants by selected place of birth,  Africa,,2870
Immigrants by selected place of birth,    Algeria,,30
Immigrants by selected place of birth,    Egypt,,1220
Immigrants by selected place of birth,    Ethiopia,,30
Immigrants by selected place of birth,    Kenya,,140
Immigrants by selected place of birth,    Morocco,,30
Immigrants by selected place of birth,    Nigeria,,310
Immigrants by selected place of birth,    Somalia,,60
Immigrants by selected place of birth,    South Africa; Republic of,,165
Immigrants by selected place of birth,    Other places of birth in Africa,,895
Immigrants by selected place of birth,  Asia,,21730
Immigrants by selected place of birth,    Afghanistan,,475
Immigrants by selected place of birth,    Bangladesh,,355
Immigrants by selected place of birth,    China,,995
Immigrants by selected place of birth,    Hong Kong,,250
Immigrants by selected place of birth,    India,,4790
Immigrants by selected place of birth,    Iran,,145
Immigrants by selected place of birth,    Iraq,,900
Immigrants by selected place of birth,    Japan,,45
Immigrants by selected place of birth,    Korea; South,,355
